area,floors,slab_thickness,beam_density_factor,column_density_factor,soil_type,sbc_value,seismic_zone,concrete_grade,steel_grade,cement_price_index,steel_price_index,sand_rate,aggregate_rate,labor_rate,location_multiplier,steel_factor,wastage_factor,design_efficiency_factor,contractor_efficiency_score,concrete_volume,steel_quantity,cement_bags,total_cost,cost_per_sqm
422.87,5,0.161,1.07,1.002,1,144.45,5,20,415,369.31,59.64,55.08,44.9,636.72,1.154,132.97,1.037,0.921,0.858,453.299,60274.639,3657.75,7206039.56,17040.77
380.12,5,0.173,1.145,0.996,4,299.58,5,20,415,407.57,53.72,67.42,40.86,706.82,1.042,126.95,1.043,1.023,1.107,400.819,50884.725,3234.27,5195665.78,13668.38
439.51,5,0.191,1.0,1.234,3,164.1,4,30,500,404.31,54.74,51.14,54.51,857.06,0.924,126.35,1.077,1.083,0.854,499.099,61171.65,6815.45,9123432.96,20758.35
476.49,5,0.103,0.949,1.089,2,152.04,5,20,500,492.9,46.35,84.37,47.76,561.16,1.127,147.58,1.076,1.063,1.067,294.864,42210.772,2379.3,5308049.51,11139.91
303.88,5,0.129,1.009,1.18,2,183.8,5,25,500,334.22,65.78,50.07,36.37,563.75,1.01,144.52,1.031,1.011,0.866,239.639,33594.734,2658.82,3974861.72,13080.41
385.32,3,0.18,1.058,0.995,4,241.52,3,25,500,370.47,56.5,44.23,47.72,726.33,0.99,98.35,1.066,1.097,0.896,239.765,22873.126,2660.22,3402478.99,8830.19
270.56,4,0.18,0.858,0.926,1,138.25,5,20,500,368.66,54.85,57.53,50.61,674.73,1.26,138.91,1.071,1.051,0.967,230.177,31015.323,1857.34,3548258.42,13114.47
403.62,2,0.158,1.076,1.158,3,218.64,5,20,415,404.76,52.5,43.87,46.05,673.37,1.283,122.28,1.038,0.994,0.978,159.647,19522.454,1288.22,2261658.11,5603.48
291.53,4,0.106,1.265,1.034,1,147.28,3,25,500,394.42,78.31,51.74,51.17,692.02,1.089,110.71,1.037,1.054,0.916,147.339,15822.898,1634.74,3025011.13,10376.49
381.34,4,0.159,1.292,1.113,1,104.25,5,25,500,323.12,71.2,39.28,52.8,688.53,1.042,149.94,1.062,1.071,1.104,292.181,42495.046,3241.78,4933681.83,12937.69
173.77,3,0.183,1.068,1.128,3,204.06,4,25,415,361.97,66.99,56.77,51.53,504.88,1.208,130.95,1.051,1.017,0.914,117.675,15409.766,1305.62,2021463.25,11633.27
359.11,4,0.102,1.255,0.825,4,286.01,4,25,415,356.7,51.11,53.89,50.5,586.28,1.223,106.19,1.068,0.939,0.996,198.701,21100.478,2204.6,3071067.39,8551.8
310.34,3,0.121,1.107,1.088,3,196.28,2,25,415,344.52,75.48,57.21,54.04,685.17,1.184,105.61,1.049,0.942,0.979,150.611,15905.975,1671.04,2863392.69,9226.52
162.43,5,0.185,0.813,1.217,4,250.38,2,20,415,429.62,57.91,57.09,45.16,646.16,1.042,111.02,1.051,1.002,1.029,185.573,20603.115,1497.42,2379476.88,14649.52
358.55,1,0.123,1.041,1.102,3,162.16,2,20,500,408.9,67.15,45.23,39.35,663.07,1.144,86.97,1.066,1.013,1.088,55.553,4686.66,448.27,729480.71,2034.53
216.63,5,0.106,1.037,1.039,4,222.42,3,25,500,318.35,44.87,51.99,47.44,772.23,1.163,123.28,1.04,0.905,0.886,156.227,18681.783,1733.36,2742320.26,12659.26
333.05,4,0.172,1.136,1.213,3,206.37,4,25,415,421.9,64.3,66.33,48.53,551.75,1.093,122.38,1.04,0.989,0.953,291.726,35702.463,3236.73,5050055.97,15162.9
346.22,2,0.177,0.911,1.059,1,123.94,3,25,415,379.48,64.64,46.08,48.27,696.43,1.118,83.63,1.041,1.088,1.119,138.268,11563.181,1534.1,1896040.72,5476.47
352.05,1,0.14,1.192,0.97,4,271.47,3,20,500,355.23,54.1,65.81,42.31,579.68,1.209,105.33,1.048,1.062,0.98,58.176,5944.176,469.44,776325.18,2205.18
